,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
0,Product Manager - Video and News Strategy,McClatchy,"Raleigh, NC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7797fd7d25ef6ffc,,indeed,"Are you passionate about video strategy and innovative ways to tell stories? McClatchy is looking for a Product Manager to guide our video product strategy, in addition to shaping our overall news product roadmap. McClatchy, a national leader in digital media, is growing rapidly in the digital space and delivering award-winning journalism in innovative ways. We are experiencing the most transformative period in our history.

Come Join McClatchy – a place where you have a voice and the ability to impact our future!
McClatchy is looking for an experienced Product Manager - Video and News Strategy to join our News Product Team. This position will guide McClatchy’s video product strategy, in addition to other storytelling strategies, focusing on the needs of our audiences and monetization opportunities. This position reports to the Lead Product Manager for News and collaborates with other product managers focused on editorial, audience and revenue strategies. A background in video platforms and digital video product is desired, but not required
Note: The location for this position is our innovation-focused, product-driven, technology hub in downtown Raleigh, N.C.
RESPONSIBILITIES:
Work closely with video leaders and journalists to understand both audience needs and digital storytelling needs, and shape ideas into coherent product plans that meet both objectives
Collaborate with cross-functional teams and stakeholders to develop and drive an overall strategic plan and roadmap for McClatchy's video products, defining and articulating new opportunities and goals, and aligning the strategy with other areas of the business
Use research and data analysis to inform decision making and prioritize product plans
Spot trends and innovative opportunities for video storytelling, machine learning, live stream and other areas, and investigate possibilities for McClatchy
Collaborate with user experience, design and other internal teams to ensure our video products, platforms and features successfully meet our goals
Clearly communicate video strategy, goals and KPIs to development teams and ensure delivery against them
Assist with all aspects of the product life cycle, including defining the strategy, a/b testing, design, competitive research and future enhancements of products
Lead relevant vendor evaluations
Monitor and analyze metrics as well as identify and measure the impact of new features
Serve as subject-matter expert in video product areas, touching on best practices, competition and the latest industry trends. Define actionable insights from this knowledge and use it to influence the product roadmap, as appropriate
QUALIFICATIONS:
 Required:
Bachelor's degree or comparable experience
3+ years experience in product management or video strategy
Familiarity and comfort in working with data, including the ability to use data to analyze and monitor product health, set goals and metrics, and aid in the prioritization of initiatives and features.
Strong analytical skills, ability to use hard data and metrics to back up assumptions, recommendations, and drive action.
An effective understanding of technology and how to use it to deliver outstanding and innovative products
An ability to analyze quantitatively, problem-solve, think creatively and strategically, with a corresponding ability to execute strategies methodically
Ability to perform analysis then defend findings to drive business decisions
Track record of success in fast-paced organizations with matrixed reporting environments, using collaborative approaches to drive effective solutions when no direct reporting relationship exists
Demonstrated collaboration skills, working across a broad organization
Ability to weigh competing priorities, manage tradeoffs and evaluate opportunistic new ideas with stakeholders, driving to consensus while maintaining a clear focus on overarching business priorities
Excellent verbal and written communication and presentation skills
Some travel may be necessary - 0-20%
Preferred:
 Advanced degree
Experience working in media or journalism
#LI-MK1"
3,Content Editor,Fort Worth Star-Telegram,"Fort Worth, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cbde06111d30f335,,indeed,"The content/news editor will lead, manage and inspire a team of journalists as they produce powerful public-service journalism for readers in our local community and region.

The editor must have the highest journalism ethics and sound judgment; extraordinary skills as an editor; a commitment to understanding issues his or her team reports on; the ability to coach and collaborate with reporters and other editors to achieve high-quality journalism; a deep understanding of and enthusiasm for the modern, digital news ecosystem; a firm grasp of the art and the science of reaching digital readers through search, social media and other distribution channels; a complete commitment to defending the values of the First Amendment, holding leaders and institutions accountable, and speaking truth to power.

Our future lies in digital, and the editor will lead his or her team to focus squarely on serving the measurable needs and interests of digital readers. This will require a passion for reaching digital readers and growing digital readership as well as the ability to ignite that passion in others; the regular use of readership analytics and other data to inform decision-making; and a commitment to and skill in producing exclusive, high-impact journalism.

The content editor plays a crucial part in coaching reporters to put our readers at the center of everything we do. He or she will discuss every story idea with a reporter or visual journalist, asking who would care about the story. When necessary, the content editor must be the one to reject ideas or stories that do not fit McClatchy’s mission – freeing the reporter to spend time on work that matters to our readers. The editor will also monitor his or her reporters’ progress, ensuring everyone has the training and coaching needed to succeed in the new audience-focused mission.

The editor’s work (or the work of his/her staff) will be measured by the impact it has in the community, as measured by page views and other engagement-related analytics as well as adherence to McClatchy’s mission pillars.
ESSENTIAL FUNCTIONS:
The editor must have the highest journalism ethics and sound judgment; extraordinary skills as an editor.
Skill and versatility as an editor and a writer, including the ability to shape everything from breaking news briefs to longform magazine-style pieces in a way that best serves and engages the broadest possible audience.
Sound news judgment, and a demonstrated ability to “see the story” that is going to matter to readers and to anticipate reader interests before they exist.
An interest in and aptitude for storytelling using a broad range of media, including the written word, video, photography, podcasts and other audio, and whatever comes next.
A commitment to understanding issues and topics his or her team reports on.
SKILLS AND DEMONSTRATED ABILITIES:
To consistently find and frame stories that resonate with the largest possible audience.
To write compelling headlines and relevant SEO metadata that will help the stories reach that audience.
To use social media platforms such as Facebook and Twitter to engage with audiences.
To use analytics such as page views, time on site, referral sources and “shares and likes” to help determine which stories resonate with which audiences.
Ability to say no when stories are too incremental, lack value or otherwise don’t meet our standards.
Ability to act as a proxy for our readers, asking the questions they want answered.
Understanding of metrics, and the ability to discuss with his/her reporters what they mean.
Willingness to have difficult conversations with reporters who are not meeting audience goals or core mission goals and to help them adjust their workflows, story selections or even beats to improve.
The ability to collaborate with colleagues throughout the newsroom.
Strong editing and writing skills and excellent news judgment.
Strong interpersonal skills, including empathy (toward readers and staff) and a superior ear for tone.
Comfort with a job that will be demanding, fast-paced, constantly evolving, and more outcome-oriented than task-oriented.
EDUCATION AND EXPERIENCE:
Bachelor’s degree in journalism or a related field.
Minimum of three years’ experience in a digital-first/analytics-focused news organization.
#LI-AM01"
5,Staff Editor,The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1e0b524902377932,,indeed,"A dual report to the Photography Department and the Social Team, the Social Photo Editor will coordinate with journalists across the newsroom to help shape the way The New York Times tells breaking news and enterprise stories driven by photography and video. The editor’s primary role will be to drive the Instagram strategy of The New York Times, including curating and writing for @nytimes, an Instagram account with 4.3 million followers. He or she will also contribute to the primary @nytimes accounts on Facebook and Twitter and work with editors running a handful of sub-accounts on Instagram, including @nytcooking, @nytimesfashion, @nytgender, @nytarchives and @nytimestravel.

The ideal candidate has experience running an Instagram account for a news organization. He or she will be comfortable handling a wide variety of tasks, from photo editing to writing to collaborating with video editors. The editor should also be a self-starter who is highly organized, comfortable with writing and working with data and excited to experiment. This is a Guild position.

Responsibilities:

Drive Instagram strategy, from @nytimes to the creation of new sub-accounts.
Act as the main point of contact for journalists with questions about the platform
Manage @nytimes Instagram account, from daily posting to comment moderation and audience engagement. (The role includes both photo editing and writing.)
Maintain a structured and sustainable plan for @nytimes posts.
Work with editors across the newsroom to keep track of major visual projects.
Follow a calendar highlighting annual holidays and noteworthy dates.
Work with existing Instagram series (e.g. #SpeakingInDance) and develop new series to be featured regularly on @nytimes.
Experiment with different forms of visual storytelling on social; execute detailed plans for how major enterprise stories will appear across all social platforms .
Collaborate with editors across the newsroom to identify approaches that can work across platforms including Instagram Stories, Facebook Stories, Snapchat Discover, etc.
Write and edit Instagram Stories, working with social editors and others around the newsroom (including the video department).
Keep detailed data on Instagram Story performance, looking for trends.
Collaborate and plan with desks for major visual projects, helping to guide series like 52 Places to Go and Surfacing.
Maintain a list of Times journalists on Instagram. Monitor their efforts on the platform and work with selected journalists to produce Instagram Stories and more.
Contribute photos to the primary @nytimes accounts, particularly in breaking news.
Help refine and/or develop photo-driven UGC ideas, collaborating with social editors and desks across the newsroom on UGC projects involving photography.
Keep informed on the breadth of The Times’s daily and long-term photo coverage.

The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.

The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics."
9,Contract Senior Content Editor,System1,"Bellevue, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=595d1779f93217cb,,indeed,"Desired: ExcelProject ManagementSystem1 is looking for a talented and experienced digital content professional to help drive the content roadmap for our many sites. This is a contract role with the potential to move into a full-time position. We are a fast-growing and profitable company looking to scale our internal technology to keep pace with the business. The ideal person is highly motivated, accustomed to a fast-paced environment, and has a strong understanding of evolving business needs. This role will report directly to the Director of Content Management and will work with a team that takes pride in its cutting edge understanding of all things content, including but not limited to content production at scale, monetization, freelance management, and content marketing.
Who We Are
System1 was founded in Venice, CA with a simple mission — use technology to make advertising better for consumers and advertisers. System1 is led by a team of passionate and experienced entrepreneurs who have built multiple billion dollar companies.
Since our founding, we have become a profitable adtech and digital media company, with many successful websites, including leading how-to site HowStuffWorks.com.
Seniority Level - Associate
Responsibilities
Supporting the content team with planning and executing the content strategy and editorial calendar
Managing day-to-day editorial tasks to ensure that deadlines are met
Ensuring all content quality standards are maintained through guidelines, freelance management, and content review
Working with a team to manage creative assets to be used on social media and in email campaigns
Identifying and executing seasonal trends or current events
Using analytics to inform content ideation, targeting, and strategy
Requirements
Minimum 3 years experience in digital media either as an editor, journalist or content strategist
Exceptionally skilled in communication, as well as writing, editing and grammatical skills
Understanding of project management for content production at scale
Excellent knowledge/understanding of various content production and distribution and data analysis platforms
Proficiency in Excel and Google Sheets
Self-motivated with organizational skills and a flexible outlook, with a general sense of curiosity about the world around us
Strong understanding of how to craft content to achieve several content KPIs — from compelling headline copy to best-in-class photography
Solid understanding of major content distribution networks, including but not limited to Facebook, Outbrain, Taboola, and Snapchat
If writing samples are available, that would be a plus
What We Have To Offer
Free Uber/Lyft to and from work ( Venice) Paid Parking or an ORCA Card ( Bellevue)
Collegial and collaborative team with highly intelligent and motivated coworkers
Cross-team lunches and demos to foster learning
Daily catered meals and fully stocked kitchen
Bi-weekly happy hour at various bars, restaurants, and venues across Los Angeles
Bi-weekly onsite happy hour
Weekly fitness class with private trainer: high intensity training, yoga, beach volleyball, beach soccer, ultimate frisbee
Company parties and outings: Skyzone indoor skydiving, Medieval Times, Karaoke, etc."
10,Multi-Media Reporter - Telemundo Charlotte,Cox Media Group,"Charlotte, NC 28202 (Downtown Charlotte area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c451a74a8df1b795,,indeed,"Description

Telemundo Charlotte, a Cox Media Group station, is searching for a smart and dedicated Multimedia Journalist to join the team launching Charlotte’s first Spanish-language television newscast. The successful candidate will be a great team player who can develop great contacts and tell the stories that impact and are important to our local Hispanic community. As part of our team, you’ll be contributing on television and online by shooting, editing and fronting stories every day. The Telemundo Charlotte team works side by side with sister station WSOC and lives the same mission: We Serve Our Community.
The ideal Telemundo Multimedia Journalist is:

A strong writer and creative storyteller.
A reporter who brings original story ideas every day.
A team player who can evolve based on feedback and research.
A self-motivated individual who wants to win each day.
Able to shoot and edit in the field.
Able to shoot and edit broadcast quality video for television newscast, deliver quick. cellphone photos, and cell video for digital.
A digital natural who posts story updates to social media platforms as they develop stories.
An innovator who can learn new technologies as they develop.
Qualifications

Bachelor’s degree preferred
Education and experience in digital news production preferred
Fluent in Spanish-language
Three years’ experience at news production preferred, including spot news
Knowledge of digital content management systems, email and database management programs
Requirement may change over time depending on technology and company priorities

About Cox Media Group

Cox Media Group is an integrated broadcasting, publishing and digital media company. The company’s operations currently include broadcast television stations, radio stations, daily newspapers, and digital sites. Additionally, CMG operates the National Advertising Platform businesses of CoxReps - the country’s biggest television rep firm - Gamut, and Videa. The company also offers a full suite of local and regional advertising services through its Local Solutions and Ideabar businesses. CMG currently operates in more than 20 media markets and reaches approximately 52 million Americans weekly across all platforms. For more information about Cox Media Group, please check us out online at www.coxmediagroup.com.
Cox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individual’s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.
Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.

Organization: Cox Media Group

Primary Location: US-NC-Charlotte-1901 N Tryon St

Employee Status: Regular

Job Level: Individual Contributor

Shift: Day Job

Travel: Yes, 25 % of the Time

Schedule: Full-time

Unposting Date: Ongoing"
15,Investigative Multimedia Journalist,The E.W. Scripps Company,"Tucson, AZ 85710",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2f103b584387a4e9,,indeed,"Desired: Driver's LicenseKGUN9 is seeking an Investigative MMJ.

The Investigative MMJ collects and analyzes complex information of newsworthy events relying on critical relationships with local news makers. The Investigative MMJ will be relied upon primarily for lead stories and/or specialized segments.

Develop, create and research news leads and news tips to develop story ideas

Breaks stories through investigation and research

Use computer database to research statistics and facts

Gathers and verifies factual information regarding stories through interview, observation, and research

Organizes material and writes story according to prescribed editorial style and format standards

Appears on multiple platforms when conducting taped interview or narration

Gives live reports from site of event or mobile broadcast unit

Shoot, write, edit and produce quality content for multiple media platforms

Work cooperatively with photographer (when assigned to story)

Assist producer in preparing newscast

Assist online staff in preparing for multi-media content

Report, shoot, write, capture visual content, edit and produce stories for multiple platforms on deadline, such as Internet and digital channels

Knowledge and demonstration of editorial judgment, journalistic ethics and libel laws


Four-year degree in Journalism or related field preferred. A minimum of two years of professional reporting experience, including investigative reporting preferred. Must have a valid driver's license and proof of insurance.

Must demonstrate the ability to work well with others including producers, multimedia journalists, photographers and other personnel and the public. Must be available for shift changes, nights and/or weekends. Travel may be required.

About Scripps:

The E.W. Scripps Company (NYSE: SSP) serves audiences and businesses through a growing portfolio of television, radio and digital media brands. Scripps is one of the nation's largest independent TV station owners, with 33 television stations in 24 markets and a reach of nearly one in five U.S. households. It also owns 34 radio stations in eight markets. Scripps also runs an expanding collection of local and national digital journalism and information businesses, including multi-platform satire and humor brand Cracked, podcast industry leader Midroll Media and over-the-top video news service Newsy. Scripps also produces television shows including ""THE LIST"" and ""The Now,"" runs an award-winning investigative reporting newsroom in Washington, D.C., and serves as the long-time steward of the nation's largest, most successful and longest-running educational program, the Scripps National Spelling Bee. Founded in 1878, Scripps has held for decades to the motto, ""Give light and the people will find their own way""."
17,Senior Data Reporter,Southern Poverty Law Center,"Atlanta, GA 30317 (Edgewood-Kirkwood area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=386fdcab382a0483,,indeed,"Summary:
SPLC is seeking a Senior Data Reporter to lead large-scale data collection and analysis projects to inform investigative reporting on the radical right. The ideal candidate will have deep experience creating compelling data-driven investigative reporting. The Senior Data Reporter will help lead the data analysis planning and reporting for both existing data sets as well as for collecting new data sets.

Primary Job Functions:

Working in close partnership with our research and investigations teams, plan and execute quantitative analyses — and interpret results — for short- and long-form stories and visualizations;
Make phone calls, conduct interviews and do on-the-ground reporting;
Assist fellow reporters with data brainstorming, acquisition, data cleaning, integrity-checking and analysis;
Bulletproof and spot-check data work done by other journalists on the team and in the newsroom;
Assist researchers and developers in collecting data, including FOIA'ing for it, scraping it, cleaning it, analyzing it, and preparing it for publication;
Teach and encourage best practices and newsroom data policies;
Utilize sources, documents, computer-assisted reporting, and other journalistic tools to develop, report, write and produce exclusive accountability stories and investigative projects;
Compile documentation to facilitate ease of fact checking.

Qualifications –

Education and Related Work Experience:

Bachelor's degree in journalism or a quantitative field (statistics, economics) required;
5-7 years of investigative journalism experience with demonstrated results;
Experience working on data projects in a newsroom or experience doing statistical or data-scientific analysis, either in academia or in another research setting;
Excellent interpersonal skills, solid editorial judgment, and the ability to write quickly and cleanly;
A solid understanding of the tools of data analysis, such as database management systems (MongoDB or SQL Server), statistics software (R, Python/pandas), Microsoft Excel, etc;
Have a track record of using data to drive investigative and enterprise reporting, with a commitment to uncompromising accuracy;
Familiarity with online platforms and best social media practices;
Commitment to develop and maintain sources;
Not for profit experience is preferred but not essential.

Knowledge, skills and abilities:

Creative thinking and problem-solving skills;
Excellent research, writing and reporting skills;
Expertise in the radical right;
Strong ability to build trust and credibility with stakeholders across lines of difference;
Proven ability to manage multiple tasks in a fast-paced environment;
Ability to meet deadlines, take initiative, receive constructive feedback, and work autonomously;
Ability to manage multiple projects and deadlines;
Must be able to work in a fast-paced environment with demonstrated ability to manage multiple competing tasks and demands on deadline;
Must be a team player;
Commitment to the mission of the SPLC.

Other Special Considerations:
This job is performed under general office conditions and is not subject to any strenuous physical demands or dangerous conditions.

Disclaimer:
The statements herein are intended to describe the general nature and level of work being performed by the employee in this position. These statements are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of a person in this position.

An Equal-Opportunity Employer with a Commitment to Diversity

Southern Poverty Law Center (SPLC) is proud to be an equal opportunity employer, and as an organization committed to diversity and the perspective of all voices, we consider applicants equally of race, gender, gender identity, color, sexual orientation, religion, marital status, disability, political affiliation, national origin, or prior record of arrest or conviction."
19,"Editor, Banking News",S&P Global,"Arlington, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4d602daf75951437,,indeed,"Are you seeking a rewarding leadership role? As an editor with the bank news team, you will deliver fast-paced news while collaborating with a team that spans four countries. Coverage includes U.S. banks and the regulations, trends and economic events that impact them. This position will lead our Washington, D.C., coverage of regulators, policymakers and politics affecting the bank industry.


Location: Arlington, VA

SPGMI


The Team: Do you love to collaborate? With a global newsroom of more than 250 reporters and editors across five continents, you will have the opportunity every single day to work with people from a wide variety of backgrounds and to develop a close team dynamic with co-workers from around the globe. In this role, you will lead a team of two politics-and-policy reporters based in Arlington, Va., as well as contribute to other coverage of the bank industry.


The Impact: Our journalists combine subject matter expertise, a real passion for news and best-in-class data.

We comb through regulatory filings, attend top industry events, and monitor market trends to bring readers the information they need to know. Our comprehensive and timely news gathering operation combined with our enterprise journalism creates a unique news source essential to any sector-focused professional.


What's in it for you:

Explore a highly-rewarding career path with room for professional growth, recognition and rewards.
Utilize our extensive database of market, regulatory and corporate data to enrich your ability to deliver high-quality news.
Brainstorm with colleagues who share deep knowledge and passion about the sectors they cover.
Enjoy a casual working environment.


Responsibilities:

Edit news articles for accuracy, style and content.
Adhere to daily and weekly deadlines.
Shape your team's daily content by developing fresh story ideas and delivering sharp, concise content and prioritizing news coverage.
Coach and mentor team members.


What we're looking for:

Basic Qualifications:
5+ years experience leading a daily news team.
Strong editing skills and a strong command of journalistic practices (AP style, libel issues, etc.).
An affinity for analyzing numbers, using in-house data intelligence, financial reports and other industry information.
Strong communication skills: You will need to be able to deliver feedback effectively to reporters across the globe.


Preferred Qualifications:
Business journalism experience.
Knowledge of financial market & economic trend analysis
Experience covering the US Banking sector a big advantage.
Experience leading remote teams.


S&P Global is an equal opportunity employer committed to making all employment decisions on the basis of merit, capability and equality of opportunity, and without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law, or any other characteristic that has no bearing on a person’s ability to perform his or her job.


Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to:


EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.
The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law."
30,Enterprise Reporter,Fort Worth Star-Telegram,"Fort Worth, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1259f7c0e2fedb3f,,indeed,"The enterprise reporter is a senior-level position that serves a critical role in helping the Fort Worth Star-Telegram meet its highest journalistic mission and the highest expectations of our audiences.

The right candidate has a track record of identifying stories that make an impact on the community and resonate with readers. He or she is an expert juggler who can develop deeper dive (one-day and two-day turnaround) stories off breaking news and news of the day, while continuing to work on mid-range and longer-term projects.

He or she has a clear understanding of how to dig for a story, a strong knowledge of public records law, loves data-driven reporting, and strives to hold public officials accountable.

This reporter will know how to acquire and analyze documents and data and will be a storyteller who can explain his or her findings in a way that makes the impact clear to readers.
The ideal candidate is curious, challenges conventional thinking and meets roadblocks with a dogged determination to get the story.

The reporter will have a demonstrated commitment to fairness and accuracy, in fact and in tone, and a strong grounding in journalism ethics. Like all McClatchy journalists, the reporter must have demonstrated the desire and skills to build audience loyalty, engagement and growth around compelling public service journalism and be comfortable with goals that hold reporters accountable for audience growth.
At the Star-Telegram, the reader comes first, last and always. Serving readers in a crowded media marketplace means becoming the best and most relevant source of journalism that matters to them - and ensuring that our work reaches them, wherever they are. This will require a keen understanding of what’s important to local readers, developed through reporting on and familiarity with the region; through the extensive use of audience analytics such as social media referrals and time spent on a story; and through a constant awareness of what people are sharing and talking about on social media.
It will require not just the ability to build sources and ferret out facts, but also a talent for framing, writing, shooting, producing and promoting a story via search and social media to ensure that it reaches and resonates with our readers. It will require a demonstrated commitment to change - to constantly adapting to the ever-evolving ways in which readers seek out and interact with our journalism. And it will require enthusiastic participation in ongoing conversations about what’s working and what’s not - and an equally enthusiastic commitment to adapting accordingly.
Minimum requirements:
Strong writing and reporting skills and excellent news judgment
Unwavering commitment to accurate, ethical journalism
Demonstrated ability to use social media platforms to reach and engage with audiences
Fluency in the science of readership and engagement, including an understanding of how to use analytics such as page views, time on site, referral sources and “shares and likes” to help determine which stories resonate with which audiences
A demonstrated ability to tell stories using a variety of tools and platforms, including video
A demonstrated ability to learn new skills and technologies, including content management systems; social media platforms; video editing software; Omniture, CrowdTangle and other analytics tools; and any emerging storytelling tools and platforms
Strong interpersonal skills, including empathy and the ability to take and give constructive criticism. The new workflows require constant conversations between reporters and editors and between reporters and their audience as a story evolves
Demonstrated ability to work comfortably in a job that will be fast-paced, data-driven, shaped constantly by feedback and experimentation and always evolving

Minimum requirements:
Bachelor’s degree
2-3 years of writing and/or production experience"
32,Financial Enterprise Editor,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2545ee0703b977fd,,indeed,"Job Description:
Financial Enterprise Editor
The Wall Street Journal seeks a serious and seasoned editor for an exceptionally compelling role: Financial Enterprise Editor. The editor has a singular mission: Lead a team of reporters to produce enterprising journalism of the highest caliber on the financial world. In other words, do great work on a topic dear to our history and our mission. The editor needs a killer instinct and a quiver full of skills. She or he must be a confident leader with experience handling complex, long-form stories and managing a team of high-octane journalists. We also need a creative editor able to refine and perfect our traditional means of storytelling, and to imagine new ways to tell stories. The Enterprise team works in a lot of formats: narrative, investigative, explanatory, visual. The editor must be equally at home with the penetrating investigation, the illuminating profile and the data-rich exploration. Do we want someone who knows a lot about finance? That would be ideal, but we’ll carefully consider applicants who can do this kind of work but whose background is in another subject matter. The position reports to Financial Editor Charles Forelle and is based in New York.
LI-JA1-WSJ
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com . Please put “Reasonable Accommodation"" in the subject line.
Business Area: NEWS/WSJ
Job Category: News/Editorial Group
About Us
The Wall Street Journal is a global news organization that provides leading news, information, commentary and analysis. The Wall Street Journal engages readers across print, digital, mobile, social, and video. Building on its heritage as the preeminent source of global business and financial news, the Journal includes coverage of U.S. and world news, politics, arts, culture, lifestyle, sports, and health. It holds 36 Pulitzer Prizes for outstanding journalism. The Wall Street Journal is published by Dow Jones, a division of News Corp (NASDAQ: NWS, NWSA; ASX: NWS, NWSLV).
If you require assistance in completing the online application, please contact the Talent Management team for Application Help at TalentResourceTeam@dowjones.com
JobReq13500"
