,word,frequency
1,news,1582
2,work,823
3,media,794
4,stories,783
5,experience,748
6,content,739
7,digital,646
8,skills,576
9,ability,553
10,social,482
11,platforms,479
12,including,439
13,journalism,417
14,information,391
15,team,385
16,video,384
17,story,326
18,company,317
19,strong,307
20,editing,306
21,new,281
22,status,279
23,television,272
24,journalist,268
25,job,268
26,writing,264
27,local,263
28,required,257
29,editorial,250
30,years,243
31,write,242
32,national,237
33,position,236
34,knowledge,234
35,develop,232
36,responsibilities,229
37,live,220
38,daily,218
39,opportunity,217
40,data,215
41,events,215
42,reporting,213
43,coverage,210
44,ideas,199
45,group,197
46,editor,195
47,business,193
48,production,190
49,employer,189
50,newsroom,187
51,looking,186
52,reports,183
53,edit,181
54,requirements,179
55,use,178
56,equal,178
57,broadcast,178
58,journalists,176
59,working,175
60,degree,174
61,people,172
62,online,172
63,creative,170
64,related,166
65,environment,166
66,breaking,163
67,help,162
68,research,158
69,duties,158
70,station,157
71,produce,156
72,markets,156
73,candidates,156
74,disability,156
75,innovative,152
76,audience,151
77,stations,151
78,multimedia,151
79,community,150
80,understanding,149
81,make,146
82,color,146
83,reporter,146
84,excellent,145
85,candidate,144
86,field,144
87,marketing,144
88,multiple,143
89,nexstar,142
90,top,142
91,gender,141
92,industry,140
93,management,140
94,employment,138
95,deadlines,134
96,sources,134
97,time,134
98,age,132
99,assigned,132
100,under,130
101,tools,128
102,religion,127
103,origin,127
104,projects,126
105,veteran,125
106,role,124
107,qualified,124
108,race,122
109,reporters,121
110,editors,121
111,relevant,120
112,communication,120
113,tv,120
114,world,120
115,create,119
116,professional,119
117,equipment,118
118,provide,118
119,global,117
120,sports,117
121,storytelling,114
122,engaging,114
123,essential,113
124,web,113
125,should,112
126,application,112
127,public,111
128,million,109
129,communications,109
130,network,109
131,orientation,109
132,delivers,108
133,qualifications,106
134,quality,106
135,sexual,106
136,largest,105
137,shoot,104
138,minimum,104
139,scripps,104
140,times,103
141,best,102
142,meet,101
143,using,101
