keyword,frequency
news,1597
media,882
content,825
work,825
experience,790
stories,741
digital,637
skills,559
social,554
ability,518
platforms,492
including,462
journalism,422
team,390
information,389
video,328
story,319
editing,319
company,316
strong,303
local,284
status,284
writing,282
new,280
position,276
editorial,269
television,261
required,256
journalist,255
job,253
years,250
live,240
write,239
knowledge,239
national,235
responsibilities,224
editor,220
opportunity,219
reporting,217
develop,216
daily,205
events,203
business,198
coverage,197
working,192
data,190
requirements,190
production,189
online,185
employer,185
related,183
ideas,182
journalists,181
newsroom,180
degree,180
creative,179
equal,178
group,178
marketing,177
breaking,176
community,175
edit,173
reports,173
looking,171
people,168
environment,168
use,167
produce,167
broadcast,165
candidates,163
research,162
duties,160
station,160
reporter,159
disability,159
audience,159
innovative,155
multiple,152
excellent,151
help,151
candidate,150
field,149
color,149
communications,147
employment,146
stations,144
management,143
gender,142
understanding,142
make,142
assigned,141
markets,139
qualified,137
nexstar,137
projects,134
editors,134
sources,133
top,133
multimedia,132
time,131
religion,131
veteran,131
tools,131
age,130
origin,130
industry,130
relevant,130
deadlines,130
communication,129
reporters,128
race,126
under,124
public,123
times,123
apply,122
provide,121
create,119
professional,117
equipment,117
responsible,116
storytelling,116
qualifications,116
world,115
engaging,115
application,115
role,113
tv,112
quality,112
minimum,111
diverse,111
million,110
global,110
network,110
sports,110
orientation,109
sex,108
web,107
essential,106
sexual,106
protected,106
meet,106
include,105
applicants,105
delivers,105
standards,104
organization,103
identity,102
technology,101
committed,101
best,101
basis,101
largest,100
graphics,99
using,99
readers,99
should,98
day,98
staff,97
unique,96
solutions,96
cover,95
record,95
plus,94
shoot,93
marital,93
various,93
radio,93
investigative,92
variety,92
consumers,92
enterprise,91
great,91
special,91
deadline,89
compelling,89
development,89
interviews,89
written,89
brand,88
demonstrated,88
producing,88
judgment,88
into,88
background,88
journal,88
journalistic,86
join,86
manage,86
education,85
support,85
reach,85
scripps,85
learn,84
style,84
most,84
tell,84
households,84
want,83
interest,83
program,83
producer,83
weather,83
growing,82
decisions,82
seeking,81
visual,81
producers,80
copy,80
original,80
interview,80
employees,80
market,80
college,79
individuals,79
equivalent,79
law,79
description,78
regard,78
desired,78
videos,78
communities,78
genetic,77
conditions,77
systems,77
manner,77
report,76
bachelor,76
issues,76
personal,76
broadcasting,76
accurate,76
part,75
photography,74
handle,74
developing,73
high,73
current,73
print,73
pressure,72
successful,72
ideal,72
english,72
health,71
audiences,71
strategy,71
ensure,71
results,71
leading,70
facebook,70
opportunities,70
deliver,70
lead,68
building,68
senior,68
closely,68
perform,68
mobile,68
build,68
highly,68
approximately,68
businesses,68
articles,67
impact,67
hours,67
eeo,67
facts,66
needed,66
website,66
awards,66
25,66
driving,66
assignment,65
drive,65
least,65
includes,65
key,65
political,65
design,65
clear,65
street,65
investigations,64
proven,64
engagement,64
twitter,64
managing,64
products,64
writes,64
providing,63
serves,63
edits,63
wall,63
willing,62
benefits,62
fastpaced,62
applications,62
youll,62
federal,62
presence,62
process,62
office,62
own,61
mission,61
state,61
needs,61
experienced,60
around,60
passion,60
maintain,60
major,60
publishing,59
organizational,59
assignments,59
take,59
tasks,59
contacts,59
exciting,59
analysis,59
culture,58
internal,58
receive,58
product,58
financial,58
portfolio,58
flexible,57
email,57
newscasts,57
50,57
military,57
general,56
based,56
channels,56
diversity,56
accommodation,56
networks,56
comfortable,55
country,55
reaching,55
set,55
materials,55
consideration,55
managers,54
letter,54
director,54
service,54
training,54
complete,54
advertising,54
license,54
material,53
states,53
submit,53
encourage,53
leader,53
physical,52
conduct,52
assist,52
serve,52
leadership,52
analytics,52
person,52
career,52
creating,52
tribune,52
family,52
workforce,52
weekends,52
resume,51
university,51
following,51
visit,51
operation,51
participate,51
produces,51
shoots,51
nyse,51
valid,51
techniques,50
source,50
areas,50
show,50
generate,50
ap,50
affiliates,50
gathering,50
situations,49
summary,49
making,49
teams,49
understand,49
operate,49
jones,49
travel,49
accuracy,48
go,48
individual,48
considered,48
range,48
overview,48
services,48
shooting,48
consider,48
reasonable,47
level,47
washington,47
competitive,47
reaches,47
collaborate,47
100,47
proud,47
here,46
school,46
ethics,46
newscast,46
goals,46
npr,46
expression,45
area,45
deep,45
contribute,45
contact,45
commitment,45
camera,45
performance,45
brands,45
life,44
quickly,44
activities,44
proficiency,44
active,44
would,44
citizenship,43
find,43
programs,43
science,43
changing,43
strategies,43
works,43
assistance,43
pregnancy,43
manager,43
consistent,43
planning,43
connect,43
free,43
require,43
dow,43
presentation,42
necessary,42
know,42
audio,42
effectively,42
right,42
way,42
engage,42
addition,42
awardwinning,42
appearance,42
post,42
images,42
consistently,42
regardless,42
united,42
trends,42
cox,42
demonstrate,41
fluency,41
get,41
come,41
plan,41
technical,41
abilities,41
dynamic,41
track,41
leaders,41
topics,41
someone,41
schedule,41
applicable,41
requires,41
basic,41
sound,41
websites,41
success,41
proficient,41
policy,41
llc,41
drug,41
leads,41
provides,41
operations,41
desk,40
passionate,40
medical,40
vision,40
newspaper,40
enhance,40
computer,40
statement,40
practices,40
nonlinear,40
characteristics,40
disabilities,40
seeks,39
weekend,39
expected,39
hiring,39
politics,39
future,39
programming,39
bachelors,39
instagram,39
complex,39
integrity,39
grammar,39
identify,39
diversified,39
independent,39
driven,39
google,38
details,38
interpersonal,38
like,38
does,38
evaluates,38
nearly,38
grow,38
adobe,38
advertisers,38
resource,38
department,38
completing,38
storyteller,37
owned,37
relationships,37
posting,37
members,37
international,37
sites,37
fulltime,37
emphasis,37
air,37
shift,37
establish,37
positive,37
month,37
impactful,37
aspects,37
lift,37
talent,37
writer,36
covering,36
year,36
feature,36
effective,36
groups,36
ways,36
focus,36
features,36
creation,36
only,36
system,36
parent,36
conducts,36
driver,36
shape,35
latest,35
weekly,35
appropriate,35
greater,35
beat,35
careers,35
affiliation,35
35,35
primary,35
format,35
timely,35
tells,35
big,35
companies,35
limited,35
discriminate,34
press,34
week,34
r,34
next,34
researching,34
familiarity,34
during,34
customer,34
executive,34
nationwide,34
unparalleled,34
empowering,34
shots,34
government,34
creed,34
expertise,33
outside,33
check,33
