keyword,frequency
news,1366
work,741
media,716
experience,681
stories,663
content,655
skills,510
digital,503
ability,468
social,456
platforms,414
including,381
journalism,370
information,351
team,326
video,299
editing,294
company,284
story,282
strong,278
writing,264
new,254
status,243
position,242
journalist,238
required,236
local,231
job,231
television,219
live,218
years,213
national,212
editorial,209
data,207
write,206
knowledge,201
reporting,193
develop,192
events,191
responsibilities,190
daily,185
opportunity,179
editor,175
ideas,167
edit,164
online,163
employer,162
reports,161
requirements,159
production,158
looking,157
degree,155
related,155
newsroom,154
creative,152
group,152
station,152
equal,151
journalists,150
working,149
business,149
marketing,148
breaking,147
coverage,146
research,145
reporter,141
candidates,141
use,141
duties,140
help,139
candidate,138
community,138
excellent,136
broadcast,136
people,135
markets,135
disability,134
environment,133
make,133
audience,130
innovative,128
multimedia,128
nexstar,128
communications,127
color,126
field,125
projects,125
industry,125
stations,125
under,124
gender,123
deadlines,122
multiple,121
produce,121
age,119
public,119
relevant,117
sources,115
communication,115
assigned,115
reporters,114
management,114
top,113
employment,113
religion,110
veteran,110
times,110
editors,109
origin,108
time,105
equipment,105
race,104
professional,104
qualified,103
tv,103
minimum,102
provide,102
qualifications,102
essential,101
tools,101
world,101
investigative,100
quality,99
engaging,98
understanding,98
apply,97
diverse,97
responsible,96
network,96
storytelling,95
million,95
web,95
identity,94
orientation,94
role,93
sexual,92
meet,92
global,92
should,91
interest,91
cover,91
largest,91
record,91
create,91
sports,91
basis,90
delivers,90
include,89
sex,89
committed,88
shoot,87
demonstrated,87
organization,86
education,86
staff,86
marital,84
day,84
protected,84
variety,83
consumers,83
graphics,83
applicants,82
application,82
journalistic,81
deadline,80
best,80
interviews,80
households,80
successful,78
want,78
solutions,78
great,77
technology,77
plus,77
various,77
special,77
unique,77
producers,77
style,76
using,76
issues,75
market,75
compelling,74
into,74
copy,74
conditions,74
reach,74
standards,74
manner,74
readers,74
enterprise,73
join,73
employees,73
background,72
written,72
learn,71
tell,71
report,70
website,70
development,70
equivalent,70
perform,70
personal,70
journal,70
brand,69
seeking,69
most,69
growing,69
decisions,69
judgment,68
college,68
support,68
bachelor,68
visual,68
photography,68
handle,68
scripps,68
description,67
producing,67
individuals,67
interview,67
articles,66
impact,66
build,66
deliver,66
writes,66
edits,66
accurate,66
pressure,65
radio,65
law,65
english,65
results,65
includes,64
facts,64
developing,64
program,64
genetic,64
broadcasting,64
investigations,63
ideal,63
political,63
communities,63
analysis,63
proven,62
producer,62
health,62
audiences,62
key,62
highly,62
25,62
driving,62
based,61
least,61
current,61
manage,61
weather,61
general,60
lead,60
original,60
serves,60
eeo,60
providing,59
part,59
presence,59
ap,59
print,58
regard,58
desired,58
office,58
publishing,57
assignments,57
around,57
awards,57
financial,57
ensure,56
systems,56
maintain,56
tasks,56
approximately,56
high,55
diversity,55
businesses,55
senior,54
conduct,54
youll,54
materials,54
facebook,54
newscasts,54
own,53
organizational,53
closely,53
needed,53
letter,53
applications,53
products,53
videos,53
overview,53
clear,53
license,53
resume,52
building,52
country,52
willing,52
opportunities,52
major,52
leading,51
fastpaced,51
contacts,51
valid,51
mission,50
experienced,50
physical,50
accuracy,50
internal,50
reaching,50
receive,50
tribune,50
federal,50
operate,50
assignment,49
comfortable,49
drive,49
mobile,49
twitter,49
managing,49
shoots,49
shooting,49
portfolio,49
managers,48
engagement,48
submit,48
encourage,48
hours,48
training,48
exciting,48
50,48
material,47
assist,47
benefits,47
visit,47
person,47
range,47
workforce,47
military,47
competitive,46
director,46
leader,46
flexible,45
following,45
take,45
planning,45
service,45
networks,45
state,44
operation,44
nyse,44
affiliates,44
street,44
weekend,43
desk,43
come,43
serve,43
states,43
situations,43
show,43
generate,43
addition,43
family,43
100,43
produces,43
go,42
deep,42
passion,42
contact,42
set,42
summary,42
proficiency,42
wall,42
techniques,41
plan,41
source,41
consideration,41
process,41
design,41
proud,41
active,41
gathering,41
culture,40
expression,40
know,40
abilities,40
audio,40
right,40
school,40
fulltime,40
ethics,40
quickly,40
consider,40
travel,40
trends,40
newspaper,39
creating,39
integrity,39
understand,39
participate,39
llc,39
life,38
year,38
areas,38
contribute,38
channels,38
career,38
strategy,38
sites,38
washington,38
shift,38
needs,38
appearance,38
nearly,38
collaborate,38
advertising,38
free,38
camera,38
services,38
weekends,38
owned,37
expected,37
find,37
entertainment,37
leadership,37
programs,37
considered,37
international,37
awardwinning,37
activities,37
evaluates,37
post,37
reaches,37
success,37
timely,37
complete,37
computer,37
diversified,37
connect,37
presentation,36
covering,36
level,36
changing,36
effectively,36
manager,36
regardless,36
leads,36
driver,36
lift,36
independent,36
fluency,35
citizenship,35
shape,35
individual,35
accommodation,35
topics,35
weekly,35
someone,35
pregnancy,35
newscast,35
consistent,35
websites,35
commitment,35
operator,35
consistently,35
images,35
united,35
provides,35
nonlinear,35
characteristics,35
storyteller,34
discriminate,34
necessary,34
area,34
writer,34
medical,34
press,34
university,34
future,34
phone,34
familiarity,34
enhance,34
making,34
schedule,34
features,34
sound,34
drug,34
jones,34
viewers,34
reuters,34
would,34
seeks,33
get,33
passionate,33
vision,33
science,33
feature,33
bachelors,33
engage,33
ways,33
emphasis,33
establish,33
does,33
goals,33
grow,33
only,33
parent,33
resource,33
statement,33
ad,33
shots,33
demonstrate,32
technical,32
