,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
0,"Weekend Anchor/ General Assignment Reporter, KABC-TV",ABC7 Los angeles,"Glendale, California",2018-11-06 13:07:49,https://careers.journalists.org/jobs/11645333/weekend-anchor-general-assignment-reporter-kabc-tv,NaN,careers,"
 ABC7 Los Angeles seeks a Weekend Anchor/ General Assignment Reporter.   Minimum 3 years news anchoring experience preferred. Qualified candidates must be excellent writers; have the ability to enterprise exclusive content; demonstrate strong live presentation skills as well as excellent social media fluency.  Willingness to shoot and edit is preferred. If you work well under deadline pressure, are an ethical journalist and strong story-teller across all platforms, and are comfortable handling live breaking news at the anchor desk and in the field please apply online at www.Abc7jobs.com or send resume to: ABC7 Los Angeles, Attn: Human Resources Dept. WGR/awm, 500 Circle Seven Drive, Glendale, CA 91201.  Equal Opportunity Employer –Female/Minority/Veteran/Disability/Sexual Orientation/Gender Identity.  

Qualified candidates must be excellent writers; have the ability to enterprise exclusive content; demonstrate strong live presentation skills as well as excellent social media fluency. 

"
1,"Orange County Reporter, KABC-TV",ABC7 Los Angeles,"Orange, California",2018-10-23 13:07:49,https://careers.journalists.org/jobs/11606120/orange-county-reporter-kabc-tv,NaN,careers,"
 KABC-TV, the ABC Owned local TV and digital content provider in Los Angeles, seeks a creative, energetic, general assignment reporter to be based in our Orange County bureau.  Qualified candidates must be great writers and have strong live presentation skills.  Ability to shoot, edit and publish is essential.  Must be able to demonstrate social media fluency.  Successful candidate is expected to shoot their own material at least half of the time.  Previous local news anchoring or fill-in anchoring experience is preferred.  If you work well under deadline pressure, are a strong journalist and story-teller, and are comfortable handling live breaking news at the anchor desk and in the field please apply online at Abc7jobs.com or send resume to: ABC7 Los Angeles, Attn: Human Resources Dept. OCR/awm, 500 Circle Seven Drive, Glendale, CA 91201.  Equal Opportunity Employer –Female/Minority/Veteran/Disability/Sexual Orientation/Gender Identity.  

Qualified candidates must be great writers and have strong live presentation skills.  Ability to shoot, edit and publish is essential.  Must be able to demonstrate social media fluency.  Successful candidate is expected to shoot their own material at least half of the time.  

"
2,Senior Investigative Reporter,The Markup,"New York, New York",2018-11-09 13:07:49,https://careers.journalists.org/jobs/11677622/senior-investigative-reporter,NaN,careers,"
 Welcome. We are The Markup (https://themarkup.org/) -- a brand new nonpartisan, nonprofit journalism organization in New York City. We're hiring! Our mission is to investigate and illuminate the societal effects of new technologies. With little accountability or oversight, technology is affecting who we vote for, how we raise our kids, who is able to get housing, jobs, healthcare and a comfortable life. We will investigate these impacts, with the goal of holding the powerful to account, raising the cost of bad behavior, and spurring reforms. We begin publishing in 2019. The Markup is looking for experienced Investigative Reporters who have also demonstrated strong data skills to lead investigative projects. The Markup is committed to building a team that includes a wide variety of backgrounds and perspectives, and an organizational culture that is reader-centered, inventive, rigorous, and courageous. A collaborative team-based approach is core for us: we won't tolerate jerks. We aim to be a place where a diverse mix of dedicated people will want to come, to stay, and do their best work. We do not discriminate on the basis of race, color, religion, age, sexual orientation, gender identity, gender expression, marital status, country of origin, citizenship, ancestry, physical or mental disability, or veteran status. About the position At The Markup, investigations are the heart of what we do. We are seeking an inventive, rigorous and collaborative Senior Investigative Reporter who can lead investigations, be comfortable with data and spreadsheets, and write compelling articles based on our findings.  Our approach to investigative journalism is guided by the scientific method. We develop hypotheses and assemble data —through crowdsourcing, FOIAs, and automated data collection— to test our theories.  Senior Investigative Reporters will often work alongside a Data Journalist to conduct investigations. Together they will develop a hypothesis and strategize about data collection techniques. The Senior Investigative Reporter will develop the necessary domain expertise in the topic area, find interesting anecdotes to illustrate the findings and conceive and shape the narrative of the article.  This position will report to the Editor-in-Chief.  Responsibilities Senior Investigative Reporters will be responsible for working closely with Data Journalists, producing and writing several investigations per quarter, as well as explanatory articles.  Investigative Journalism is a team sport. The Markup’s Senior Investigative Reporters will work closely with Investigative Data Journalists to develop hypotheses, collect data and develop findings. You will also work with other parts of the newsroom to explain and promote your findings and with our editorial partners outside the newsroom.  You will also be the custodian of your own digital security. We will provide the tools, but you will need to use two-factor authentication, password managers, encryption and other tools and tactics that can help us protect our work and our sources.  

Because our team- and data-based approach to journalism is new, there won’t be many people who have done it before. So don’t worry if you haven’t done the exact type of data journalism we plan to practice. The skills we are looking for are: You have strong data judgement and can see a story in a dataset.  You know how to spot a story. You have a minimum of five years of experience as an investigative journalist. You know proven impact. You have worked on successful investigations that have led to real world change. You are a fast, clean writer. You have spent a minimum of five years writing news articles on a deadline. You are passionate about accuracy. You are willing to go the extra mile to check even facts that seem obvious. You are skilled at cultivating relationships with sources and are diligent about protecting them.  You are data literate. You can use Excel (maybe you are not an expert, but are willing to learn) and committed to learning other technical skills on the job as needed. You enjoy learning and are flexible. This is a new form of journalism and we’ll all be learning how to do it together. Experience covering the technology industry is a plus, but not a requirement.  


NOTES:

				Employer will assist with relocation costs.Additional Salary Information: We pay people fair and reasonable salaries, in accordance with their skills and abilities and experience. We also provide a robust benefits package that includes medical, dental, vision, life, disability, and pet insurance and retirement plan contributions.

The salary for this position begins at $150,000, and will be established based on the successful candidate's experience, education and skills.



								Internal Number: ONA
							
"
3,Deputy online news editor,Arkansas Democrat-Gazette,"Little Rock, Arkansas",2018-11-06 13:07:49,https://careers.journalists.org/jobs/11661471/deputy-online-news-editor,NaN,careers,"
 Arkansas' premier statewide newspaper, the Arkansas Democrat-Gazette, is seeking a motivated and energetic journalist to serve as deputy online news editor. The editor will help direct coverage across ArkansasOnline.com, the state's leading news website. The duties will include monitoring breaking news, assigning stories, editing and posting work from staff members and various news wires, curating email newsletters, developing social media posts and determining how and where content is presented. The editor must thrive in breaking-news situations and be able to juggle multiple assignments simultaneously. Strong news judgment, an ability to write engaging headlines and a firm grasp of Associated Press style are essential. The ideal candidate must be able to work with other reporters and editors on staff to develop long-term projects, special sections and other online-only elements. Experience with HTML, video editing, Microsoft Excel and Google Docs is preferred.The candidate should have the ability to work independently and in a collaborative team environment. Candidate must have excellent communication skills and the ability to work well with the public. At least one year of experience at a news organization strongly preferred.ArkansasOnline.com is the leading source for constant updates about news in, around and affecting the state of Arkansas.This job is based in Little Rock, the state capital and home to a thriving downtown and entertainment district anchored by the William J. Clinton Presidential Center.To apply, send a note of interest and a resume with references to Senior Online Editor Gavin Lesnick at glesnick@arkansasonline.com. Please include ""Deputy online news editor"" in the subject line. Email questions or call (501) 399-3664.  

 

"
4,Ogden Newspapers Professor of Journalism,West Virginia University Reed College of Media,"Morgantown, West Virginia",2018-11-06 13:07:49,https://careers.journalists.org/jobs/11648633/ogden-newspapers-professor-of-journalism,NaN,careers,"
 The West Virginia University Reed College of Media seeks a dynamic journalist and media innovator for the position of Ogden Newspapers Professor in Journalism beginning in Spring or Summer 2019.  We are seeking a unique candidate with a deep enthusiasm for re-inventing journalism, an entrepreneurial spirit, a start-up mindset, and a national recognition in the media industry. This high-profile position will be responsible for leading the College’s Master’s Degree program in Media Solutions and Innovation, a fellowship program in newspaper ownership, and related graduate and undergraduate curriculum. We are seeking candidates with relevant journalism experience who can excel in one or both of the following areas of innovation:   Digital leadership and entrepreneurship, audience development, community engagement, content distribution, and analytics.     Digital innovation including AR/VR/360°/MR; AI, bot building and maker journalism; data reporting and visualization; and other innovative storytelling methods.   This high profile administrative/faculty position includes a related teaching assignment in both undergraduate and graduate courses that support these programs.  The ideal candidate must have a deep understanding of the current media innovation and entrepreneurship environment and should demonstrate experience in or an aptitude for curriculum development and administration. The College is looking for an ambitious and creative individual who will excel in a fast-paced, deadline-driven work culture and be able to work independently and with members of a team.          

A master’s degree in Journalism, Media Studies, Communications, or a related relevant field, and significant industry experience in one or more of the areas listed above is preferred. Candidates with a bachelor’s degree will be considered if they also have at least twenty years of high level industry experience. Collegiate-level teaching and experience in curriculum development and management are strongly preferred.    Qualified applicants should submit an application, resume, cover letter, and list of three references. Review of applications will begin October 5, 2018 through November 15 2018. The position will begin in Spring/Summer 2019.         


								Internal Number: 10013
							
"
5,"Associate Producer, MPR News #152-19",Minnesota Public Radio,"St. Paul, Minnesota",2018-10-23 13:07:49,https://careers.journalists.org/jobs/11602122/associate-producer-mpr-news-152-19,NaN,careers,"
 About Us:  
MPR News has long been recognized as one of the foremost journalistic organizations in the Upper Midwest, reaching news consumers across all platforms. Reaching more than 500,000 listeners each week, the MPR News radio signal can be heard by 95 percent of Minnesotans. With news bureaus across the state, MPR News has partnerships with one of the largest TV stations in the region, KARE 11, and more than 30 newspapers. MPR News has received numerous awards for its reporting and most recently received a George Foster Peabody Award, Alfred I. DuPont Award and RTDNA Edward R. Murrow Award for its investigative reporting. Visit mprnews.org for the latest regional, national and international headlines.   
Your Role:  
If you stay on top of the news AND have ideas about untold stories worth telling, you might be the next Associate Producer for MPR News. We're looking for a new team member to join MPR News with Kerri Miller'a live, weekday call-in program. The show covers everything from politics to parenting, health sciences to science fiction and more. The ideal candidate will have a passion for taking a deep dive into the biggest issues of the day and understands how to add value to audience engagement.   
Hosted by veteran journalist Kerri Miller, we feature dynamic guests from diverse backgrounds from across the country.   
As Associate Producer, you'd work closely with Kerri and other producers to shape and produce the daily show. To succeed here, you need to see story ideas in the world around you, have a diverse media diet, and be a self-starter. You'll support the booking, production and online presentation of the program including pitching, researching and booking guests. You may direct live broadcasts, screen calls, promote the show, and adapt shows for social media and MPRNews.org.   
This position is primarily dedicated to producing MPR News with Kerri Miller, but you could be asked to work with any MPR News program.  
Position Responsibility:   
Coordinate guest bookings and technical requirements at remote studios. Contribute ideas for future broadcasts. Locate, contact, pre-interview, evaluate guests; book guests and confirm bookings. Direct shows, manage the control room, set rundown timing and coordinate with remote studios. Screen listener phone calls. Write promos and scripts and edit and fact-check copy.   Prepare audio for podcast, digital presentation and re-broadcast. Research sources/guests for background and context. Rewrite copy for accuracy and clarity. Support hosts and prepare briefing materials for hosts. Greet and interact with live studio guests. Coordinate special projects. Help manage MPR News social media channels. Support other MPR news programs and special programming as needed. Coordinate the work of interns. Other duties as assigned.   

Required Education and Experience:  
Three or more years production, editorial, or related experience.   Experience writing for radio and/or print. Experience booking guests for interviews or radio programs. Familiarity with social media platforms.  Required Skills, Knowledge and Abilities:  
Solid news judgment Strong verbal and written communication skills. A track record of developing stories that draw on diverse perspectives/source list Affinity for working with a team. Reads widely across a variety of current news sources. Ability to generate fresh and strong ideas for the programs. Ability to react to breaking news, changing situations, and change the program accordingly. Excellent organizational skills; effective with details and deadlines. Ability to learn new industry-specific skills as required. Research skills. Interest in and general knowledge of news, current events and public radio industry. Interpersonal skills, including ability to work collaboratively and effectively with a variety of individuals, such as audience, guests, hosts, and other MPR staff members.  Preferred Skills and Experience:   
Bachelor's degree or equivalent work experience. Demonstrated ability to edit audio. Experience with live news programming. Familiarity with national news stories. Experience screening listener phone calls during live broadcasts. MPR News values producers, editors, and reporters from all backgrounds. We are looking to hire the right person ' not the right resume. We encourage those with diverse and nontraditional experience to apply.  

Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.  
We are committed to hiring a breadth of diverse professionals and encourage members of diverse groups to apply.  


"
6,"Associate Producer, MPR News Talk Shows",American Public Media,"St. Paul, Minnesota",2018-10-16 13:07:49,https://careers.journalists.org/jobs/11589359/associate-producer-mpr-news-talk-shows,NaN,careers,"
 Position Summary:  
If you stay on top of Minnesota news AND have ideas about untold stories worth telling, you might be the next Associate Producer for MPR News. We're putting together a team to craft a new show: MPR News with Angela Davis. This will be a daily show that covers the headlines, the way we live and how the state is changing.  
Hosted by long-time Minnesota journalist Angela Davis, we'll feature Minnesotans close to the issues and invite listeners to join the conversation. If you've got social media chops, you can help us engage audiences before, during and after the show.  
As Associate Producer, you'd work closely with Angela and other producers to shape and produce the daily show. To succeed here, you need to thrive on teamwork and collaboration. You'll support the booking, production and online presentation of the program including pitching, researching and booking guests. You may direct live broadcasts, screen calls, promote the show, and adapt shows for social media and MPRNews.org.  
This position is primarily dedicated to producing MPR News with Angela Davis, but could be asked to work with any MPR News program.  
Position Responsibility:   
Coordinate guest bookings and technical requirements at remote studios. Contribute ideas for future broadcasts. Locate, contact, pre-interview, evaluate guests; book guests and confirm bookings. Direct shows, manage the control room, set rundown timing and coordinate with remote studios. Screen listener phone calls. Write promos and scripts and edit and fact-check copy.   Prepare audio for podcast, digital presentation and re-broadcast. Research sources/guests for background and context. Rewrite copy for accuracy and clarity. Support hosts and prepare briefing materials for hosts. Greet and interact with live studio guests. Coordinate special projects. Help manage MPR News social media channels. Support other MPR news programs and special programming as needed. Coordinate the work of interns. Other duties as assigned.  

Required Education and Experience:   
Three or more years production, editorial or related experience.   Experience writing for radio and/or print. Experience booking guests for interviews or radio programs. Familiarity with social media platforms. Required Skills, Knowledge and Abilities:   
Solid news judgment. Strong verbal and written communication skills. Affinity for working with a team. Reads widely across a variety of current news sources. Ability to generate fresh and strong ideas for the programs. Ability to react to breaking news, changing situations, and change the program accordingly. Excellent organizational skills; effective with details and deadlines. Ability to learn new industry-specific skills as required. Research skills. Interest in and general knowledge of news, current events and public radio industry. Interpersonal skills, including ability to work collaboratively and effectively with a variety of individuals, such as audience, guests, hosts, and other MPR staff members. Preferred Skills and Experience:   
Bachelor's degree or equivalent work experience. Experience with Dalet newsroom software. Demonstrated ability to edit audio. Skill and experience in field production. Experience with live news programming. Familiarity with recent Minnesota news stories. Experience screening listener phone calls during live broadcasts. Reporting To This Position:    None   
Physical Demands and Working Conditions:   
Must be able to perform the essential duties of the position with or without reasonable accommodation. Physical Demands: Required to walk, sit, and stand Reach with hands and arms; balance, stoop, kneel, or crouch Frequent use of hands for data entry/keystrokes and simple grasping   Working Conditions: Moderate noise level Occasional exposure to prevalent weather conditions Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.  
We are committed to hiring a breadth of diverse professionals and encourage members of diverse groups to apply. 


								Internal Number: #147-19
							
"
7,"Senior Editor and Digital Content Strategist, HBS Working Knowledge",Harvard University Business School,USA - MA - Boston,2018-09-14 13:07:49,https://careers.journalists.org/jobs/11464243/senior-editor-and-digital-content-strategist-hbs-working-knowledge,NaN,careers,"
 Since 1999, Harvard Business School Working Knowledge has published stories on its website about the faculty's leading-edge research and ideas on business management.  Business practitioners, thought leaders, and academics are introduced to the newest thinking on more than 400 business topics in a wide range of industries long before they make their way into mainstream practice. In addition to our website and weekly newsletter, Working Knowledge publishes on social media and through a variety of content-sharing partnerships. Working Knowledge's website attracts an engaged online community of more than 3 million visitors annually.Why you'll love this job: Make an impact by developing relationships with HBS faculty and helping them disseminate their world-class research findings.Join a group of dynamic journalists and library staff committed to improving an award-winning digital publication, fulfilling the mission of HBS, and providing great customer service.Develop your skills and career within the context of a preeminent business school. SummaryWe are looking for a web-savvy journalist and editor with a passion for business who can employ innovative strategies, tools, and tactics to enhance the production, reach, and impact of the publication. Under general direction from the Editor-in-Chief, the Senior Editor and Digital Content Strategist will write feature stories, lead our content innovation and social media strategy, coordinate special projects, and manage our part-time Growth Editor.Specific responsibilities include: Actively contributes to Working Knowledge as a writer, creating a regular flow of original feature stories under the general direction of the Editor-in-Chief and according to the site's mission to disseminate faculty research to a worldwide audience.Leads HBS Working Knowledge's content innovation and mobile strategy by leveraging digital platforms, social media, HBS/HU partnerships, and staff resources to develop new approaches to disseminating HBS faculty research.Coordinates writers and HBS specialists in digital production (videographers, data visualization experts, graphics designers, etc.), social media specialists, and other resources to develop a regular flow of innovative, original content.Drives Working Knowledge's online engagement strategy and supervises our Growth Editor, who manages Working Knowledge social content and engagement across multiple channels, including Facebook, Twitter, Instagram, and LinkedIn. The Senior Editor works with faculty members and Marketing & Communications staff to support the Growth Editor in strategically publicizing articles in innovative ways and ensuring our tactics align with the school's mission.Proactively keeps up with emerging research at HBS, including upcoming books and other publications by faculty authors, with an eye to creatively and accurately interpreting this research in a reader-friendly way for a sophisticated yet practical business audience.  Assumes extra responsibilities when needed, including making assignments to freelance writers, editing, image selection, and follow-through on all facets of the editorial and production process.Works independently and as part of a team. Exercises professional judgment under tight deadlines.Other appropriate duties as assigned.Cover Letter is Required.Note: a research and writing assessment will be included as part of the interview process.Follow us on Twitter -  @HBSJobsHarvard Business School is unable to offer visa sponsorship for this opportunity.Explore HBS Work Culture at  http://www.hbs.edu/employment/ and learn about other Employment Opportunities.Salary Grade: 058Union: 00 - Non Union, Exempt or Temporary  

Bachelor's degree, preferably in English, Journalism, or Business.Minimum 7 years experience writing, editing and creating social content for news or other digital publications. Experience managing writers, digital content creators, and social media specialists.Experience with digital marketing, website analytics, SEO, and communications campaigns as well as customer relationship management.Experience in an academic setting and with navigating both quantitative and qualitative research on a wide variety of topics. Evidence of a high level of creativity and autonomy.Ability to take complex and abstract business terms and ideas and translate them for a broader business audience using the latest digital tools and social media channels.Ability to perform under deadline pressure, and juggle several projects simultaneously.The community values: Our expectations are that employees of HBS adhere to and represent our Community Values.  They are:Respect for the rights, differences, and dignity of othersHonesty and integrity in dealing with all members of the communityAccountability for personal behavior Cover letter and 3 business related writing samples is required.Follow us on Twitter -  @HBSJobsHarvard Business School is unable to offer visa sponsorship for this opportunity.Explore HBS Work Culture at  http://www.hbs.edu/employment/ and learn about other Employment Opportunities. EQUAL OPPORTUNITY EMPLOYER: We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. 


								Internal Number: 46940BR
							
"
8,Digital Editor,The Salt Lake Tribune,"Salt Lake City, Utah",2018-10-23 13:07:49,https://careers.journalists.org/jobs/11610492/digital-editor,NaN,careers,"
 The Salt Lake Tribune — Utah's largest daily newspaper — is looking for a digital editor who can lead a team that gets our journalism in front of our audiences through our homepage, mobile apps, social media, push notifications and more. This vital employee will lead our online strategy, dive deep into our analytics and work closely with journalists in all facets of our organization. The best candidate will be someone with a strong journalism background, keen news sense, a person who stays cool under pressure and loves creative environments. We want our digital editor to keep our online products strong and push us in new directions. We are seeking candidates who have earned at least a bachelor's degree, have three years of experience in a news organization, and have a strong grasp of web management, social media and Google Analytics. Women and minorities are strongly encouraged to apply. To apply, send a cover letter and a resume to Matt Canham at mcanham@sltrib.com. Include examples of past work product.  

 

"
9,"MULTI-PLATFORM EDITOR, WBUR Program & Production",Boston University,"BOSTON, Massachusetts",2018-10-30 13:07:49,https://careers.journalists.org/jobs/11619075/multi-platform-editor-wbur-program-production,NaN,careers,"
 The Editor, Multi-Platform for WBUR works to tell stories across a variety of platforms, such as the website, social media, audio and more. The Editor is responsible for developing and executing a comprehensive engagement strategy across these platforms to serve the wider public, on platforms like Instagram, Facebook and Twitter. They will lead experimentation within the newsroom to evaluate new ways to tell stories and distribute WBURs work. The ideal candidate has excellent skills as a visual storyteller. They have solid news judgment, and the ability to encourage strong visual storytelling by others in a news environment. They play a key role in producing, editing and packaging visual elements, as well as crafting stories that are surprising, entertaining and meet the high journalistic standards of WBUR.  

B.A./B.S., excellent communication and interpersonal skills, strong knowledge of social media platforms and three to five years of related experience. Please include samples of work.  We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. We are a VEVRAA Federal Contractor."
